"player_name","team_abbrev","player_label"
"Tayler Hawkins","STL","Tayler Hawkins (STL)"
"Taylor Elgersma","BHAM","Taylor Elgersma (BHAM)"
"Taylor Stallworth","STL","Taylor Stallworth (STL)"
"Tedi Kushi","HOU","Tedi Kushi (HOU)"
"Teldrick Ross","LOU","Teldrick Ross (LOU)"
"Te'Rai Powell","ARL","Te'Rai Powell (ARL)"
"Teton Saltes","ORL","Teton Saltes (ORL)"
"Thayer Thomas","STL","Thayer Thomas (STL)"
"Toa Taua","CLB","Toa Taua (CLB)"
"Tony Fields II","CLB","Tony Fields II (CLB)"
"Tra Fluellen","ARL","Tra Fluellen (ARL)"
"Trae Barry","DC","Trae Barry (DC)"
"Tramel Walthour","DAL","Tramel Walthour (DAL)"
"Travis Bell","LOU","Travis Bell (LOU)"
"Travis Feeney","STL","Travis Feeney (STL)"
"Travis Martin","LOU","Travis Martin (LOU)"
"Tre' McKitty","LOU","Tre' McKitty (LOU)"
"Tre Norwood","BHAM","Tre Norwood (BHAM)"
"Tre Stewart","ORL","Tre Stewart (ORL)"
"Tremayne Anchrum Jr.","ARL","Tremayne Anchrum Jr. (ARL)"
"Tre'Von Jones","CLB","Tre'Von Jones (CLB)"
"Trey Wedig","DC","Trey Wedig (DC)"
"Tucker McCann","STL","Tucker McCann (STL)"
"Ty Scott","DC","Ty Scott (DC)"
"Tykeem Doss","DC","Tykeem Doss (DC)"
"Tyler Davis","BHAM","Tyler Davis (BHAM)"
"Tyler Hudson","LOU","Tyler Hudson (LOU)"
"Tyler Nebelung","STL","Tyler Nebelung (STL)"
"Tyler Neville","STL","Tyler Neville (STL)"
"Tyler Vaughns","ARL","Tyler Vaughns (ARL)"
"Tyreik McAllister","COL","Tyreik McAllister (COL)"
"Tyrese Robinson","BHAM","Tyrese Robinson (BHAM)"
"Tyrion Davis-Price","BHAM","Tyrion Davis-Price (BHAM)"
"Victor Curne","HOU","Victor Curne (HOU)"
"Walter Palmore","CLB","Walter Palmore (CLB)"
"Willie Drew Jr.","DC","Willie Drew Jr. (DC)"
"Willie Taylor III","ARL","Willie Taylor III (ARL)"
"Willie Tyler III","LOU","Willie Tyler III (LOU)"
"Willie Yarbary","ORL","Willie Yarbary (ORL)"
"Wisdom Quarshie","CLB","Wisdom Quarshie (CLB)"
"Xavier Benson","CLB","Xavier Benson (CLB)"
"Xavier Carlton","LOU","Xavier Carlton (LOU)"
"Xazavian Valladay","DC","Xazavian Valladay (DC)"
"Zach Davidson","LOU","Zach Davidson (LOU)"
"Zack Johnson","BHAM","Zack Johnson (BHAM)"
"Zaquandre White","CLB","Zaquandre White (CLB)"
"Zuri Henry","ORL","Zuri Henry (ORL)"
"Zy Alexander","HOU","Zy Alexander (HOU)"
