"player_name","team_abbrev","player_label"
"Daniel Morrison","STL","Daniel Morrison (STL)"
"Darien Butler","ORL","Darien Butler (ORL)"
"DaRon Gilbert","BHAM","DaRon Gilbert (BHAM)"
"Darrius Moragne","ARL","Darrius Moragne (ARL)"
"Dashaun White","ORL","Dashaun White (ORL)"
"Davion Ross","BHAM","Davion Ross (BHAM)"
"DC Defenders","DC","DC Defenders (DC)"
"Deandre Baker","DC","Deandre Baker (DC)"
"Deantre Prince","LOU","Deantre Prince (LOU)"
"Dee Anderson","ORL","Dee Anderson (ORL)"
"Deion Jennings","ORL","Deion Jennings (ORL)"
"Delontae Scott","ORL","Delontae Scott (ORL)"
"Demone Harris","STL","Demone Harris (STL)"
"Dennis Johnson","DC","Dennis Johnson (DC)"
"Denzel Mims","ARL","Denzel Mims (ARL)"
"Deon Cain","BHAM","Deon Cain (BHAM)"
"Deon Jackson","DC","Deon Jackson (DC)"
"Deontay Anderson","DC","Deontay Anderson (DC)"
"Deontay Burnett","ARL","Deontay Burnett (ARL)"
"Derek Parish","DC","Derek Parish (DC)"
"Derick Roberson","DC","Derick Roberson (DC)"
"Desmond Little","BHM","Desmond Little (BHM)"
"DeVere Levelston","LOU","DeVere Levelston (LOU)"
"Devin Ross","CLB","Devin Ross (CLB)"
"Devonnsha Maxwell","DC","Devonnsha Maxwell (DC)"
"Devonta Davis","DC","Devonta Davis (DC)"
"Dohnovan West","HOU","Dohnovan West (HOU)"
"Domenique Davis","ARL","Domenique Davis (ARL)"
"Dominic Boyd","HOU","Dominic Boyd (HOU)"
"Donald Payne","ARL","Donald Payne (ARL)"
"Donovan Smith","BHAM","Donovan Smith (BHAM)"
"Dorian Thompson-Robinson","ORL","Dorian Thompson-Robinson (ORL)"
"Drake Stoops","ARL","Drake Stoops (ARL)"
"Durrell Johnson","DC","Durrell Johnson (DC)"
"Dyontae Johnson","BHAM","Dyontae Johnson (BHAM)"
"Earl Bostick Jr.","LOU","Earl Bostick Jr. (LOU)"
"Easop Winston Jr.","CLB","Easop Winston Jr. (CLB)"
"Ekow Boye-Doe","DC","Ekow Boye-Doe (DC)"
"Eli Walker","HOU","Eli Walker (HOU)"
"Elijah Dotson","ORL","Elijah Dotson (ORL)"
"Elijhah Badger","ORL","Elijhah Badger (ORL)"
"Ellis Merriweather","ARL","Ellis Merriweather (ARL)"
"Emmanuel Butler","ARL","Emmanuel Butler (ARL)"
"Eric Garror","LOU","Eric Garror (LOU)"
"Erik Ezukanma","DC","Erik Ezukanma (DC)"
"Eugene Asante","HOU","Eugene Asante (HOU)"
"Eyabi Okie-Anoma","ARL","Eyabi Okie-Anoma (ARL)"
"Fabien Lovett","ORL","Fabien Lovett (ORL)"
"Fatorma Mulbah","HOU","Fatorma Mulbah (HOU)"
"Ferrod Gardner","DC","Ferrod Gardner (DC)"
"Florian Bierbaumer","LOU","Florian Bierbaumer (LOU)"
"Frank Darby","STL","Frank Darby (STL)"
"Fred Thompkins","CLB","Fred Thompkins (CLB)"
"Freedom Akinmoladun","STL","Freedom Akinmoladun (STL)"
"Gabe Taylor","DC","Gabe Taylor (DC)"
"Gareon Conley","DC","Gareon Conley (DC)"
"Gareth Warren","HOU","Gareth Warren (HOU)"
"Gary Jennings Jr.","STL","Gary Jennings Jr. (STL)"
"Geor'Quarius Spivey","HOU","Geor'Quarius Spivey (HOU)"
"Gilber Edmond","HOU","Gilber Edmond (HOU)"
"Glendon Miller","HOU","Glendon Miller (HOU)"
"Gottlieb Ayedze","HOU","Gottlieb Ayedze (HOU)"
"Greg Ward","ARL","Greg Ward (ARL)"
"Gunnar Oakes","CLB","Gunnar Oakes (CLB)"
"Hakeem Butler","STL","Hakeem Butler (STL)"
"Hank Bachmeier","ORL","Hank Bachmeier (ORL)"
"Harrison Frost","STL","Harrison Frost (STL)"
"Henry Black","CLB","Henry Black (CLB)"
"Houston Gamblers","HOU","Houston Gamblers (HOU)"
"Hudson Clark","BHAM","Hudson Clark (BHAM)"
"Hunter Dekkers","HOU","Hunter Dekkers (HOU)"
"Ian Wheeler","LOU","Ian Wheeler (LOU)"
"Ikenna Enechukwu","HOU","Ikenna Enechukwu (HOU)"
"Ilm Manning","STL","Ilm Manning (STL)"
"Isaac Ukwu","BHAM","Isaac Ukwu (BHAM)"
"Isaiah Buggs","ORL","Isaiah Buggs (ORL)"
"Isaiah Coe","BHAM","Isaiah Coe (BHAM)"
"Isaiah Mack","ORL","Isaiah Mack (ORL)"
"Isaiah Winstead","LOU","Isaiah Winstead (LOU)"
"Israel Antwine","HOU","Israel Antwine (HOU)"
"Izayah Green-May","BHAM","Izayah Green-May (BHAM)"
"J.B. Brown","COL","J.B. Brown (COL)"
"J.D. DiRenzo","LOU","J.D. DiRenzo (LOU)"
"J.T. Tyler","ARL","J.T. Tyler (ARL)"
"Jabre Barber","BHAM","Jabre Barber (BHAM)"
"Jack Browning","ORL","Jack Browning (ORL)"
"Jack Kramer","HOU","Jack Kramer (HOU)"
"Jack Plummer","ORL","Jack Plummer (ORL)"
"Jackson Carman","BHAM","Jackson Carman (BHAM)"
"Jacob Burton","DAL","Jacob Burton (DAL)"
"Jacob Sykes","ORL","Jacob Sykes (ORL)"
